Sermons,Cleriadus and Meliadice
Ung livre des eshecs,The Consolation of Philosophy
Devisement du monde,Pierre de Provence and the Beautiful Maguelonne
Psautier,
Le Livre pour l'enseignement des filles,
La Vie Nostre Dame,
Vies des saints,The Travels of Marco Polo
Ung livre de certains laiz et coustumes pour passer le temps,Psalter
Ung traictié de l'ame devote,
Pourquoi Dieu fist l'omme a sa figure,
Livre de la vroye ystoire de Troye,Lives of saints
Le Livre de Pierre Chastellain,
Bible,
Le livre de l'exposition des Euvangilles,
L'Abuzé en court,
Livre du Pellerinaige en prose,
Le Temple de Boccace,
Les trois fils de rois,
Le Livre de Confession,
Le Livre de Sapience qui enseigne a bien mourir,
Les Miracles de Nostre Dame,
De la resurrection des mors,The Three Kings' Sons
Ung livre de la mort du duc de Bourgoigne,
Ung livre...nommé de pluseurs renvoys,
Somme le roi,The Miracles of Our Lady
Les Espitres et Euvengilles,
Des biens qui viennent d'orisons,
Ung autre livre...que Monsgr de Maillé luy donna,
Ung petit livre de dames et d'amours,
Triboulet,
Jardin des nobles,
Des Epitres et des Evangiles,
Passion Jhesucrist,
De saince Clere,
Ung petit livre ... commencant Humane beate Marye virginis,
"Ung petit livre...ystorié et commance, Tres noble",
"Ung autre petit livre commencant, S'ensuit une petite et briefve contemplacion",Passion of Christ
Livre d'heures,
Chapelet Notre-Dame,
Epistre Othea,
Psalter,
Book of Hours,Book of Hours
Book of Prayers,
A French Book,
Troilus and Criseyde,
Ung livre,
Alexander and Dindimus,
Li Livres du Graunt Caam,
Roman d'Alexandre en vers,
Heures d'Anne de France,
Pèlerinage de vie humaine en prose,
Débat de réveille matin,
Confession de la belle fille,Romance of Alexander in verse
Moralité du bien public,
Physiognomonie,
Ventes d'amour,
Lettre du prêtre Jean,
Débat de la noire et de la tannée,
Belle Dame sans Merci,
Débat de l'homme marié et de l'homme non marié,
Dialogue du père et du filz,
Enseignemens Saint Louis,
Traité des nouvelletés du monde,
Enseignemens d'une dame à une amie,
Traite de troys chevaliers,
Dedicace de l'âme,
Lettre adressé par un religieux à un jeune noble pour lui apprendre à se confesser,
