Un Autre Lay,BL Harley MS 4431,Another Lay,Christine de Pizan,,Fixed-form
Une Autre Complainte amoureuse,BL Harley MS 4431,Another Love Complaint,Christine de Pizan,https://www.arlima.net/ad/christine_de_pizan.html#co2,
Une Complainte amoureuse,BL Harley MS 4431,A Love Complaint,Christine de Pizan,https://www.arlima.net/ad/christine_de_pizan.html#co1,
Une Oroison de la Vie et Passion de Nostre Seigneur,BL Harley MS 4431,A Prayer on the Life and Passion of Our Savior,Christine de Pizan,https://www.arlima.net/ad/christine_de_pizan.html#sei,Religious
Une Oroison Nostre Dame,BL Harley MS 4431,A Prayer to Our Lady,Christine de Pizan,https://www.arlima.net/ad/christine_de_pizan.html#dam,Religious
Estoire del Saint Graal,BL Harley MS 4431,The Story of the Holy Grail,,https://www.arlima.net/eh/estoire_del_saint_graal.html,
La Morte le Roi Artu,BL Harley MS 4431,The Death of King Arthur,,https://www.arlima.net/mp/mort_le_roi_artu.html,
La Queste del Saint Graal,BL Royal 14 E III,The Quest for the Holy Grail,,https://www.arlima.net/qt/queste_del_saint_graal.html,
Breviaire des nobles,BL Royal 14 E III,,,,
Chevalier au Cygne,BL Royal 14 E III,,,,
Cronicles de Normandie,BL Royal 15 E VI,,,,
Guy de Warwick,BL Royal 15 E VI,,,,
Heraud d'Ardennes,BL Royal 15 E VI,,,,
L'Ordre de la jarretier,BL Royal 15 E VI,,,,
Le Livre de la conqueste du roy Alixandre,BL Royal 15 E VI,,,,
