BnF fr. 1836,L'Examen de conscience! Science de bien mourir! L'ABC des simples gens! La Diete de Salut,
BnF lat. 919,Grandes Heures du duc de Berry,
NE 87,Jardin des nobles,
NE 88,Les Espitres et Euvengilles,
NE 89,Passion Jhesucrist,
BnF fr. 1835,Traité de mendicité spirituelle! Le Montagne de contemplation,
NE 90,De saince Clere,
NE 91,Ung petit livre ... commencant Humane beate Marye virginis,
NE 92,Ung petit livre...ystorié et commance! Tres noble,
NE 93,Ung autre petit livre commencant! S'ensuit une petite et briefve contemplacion,
NE 94,Livre d'heures,
NE 95,Chapelet Notre-Dame,
BnF fr. 2222,Congratulacion et graces de la nativité de Charles aisné filz du roy Loys unziesme de ce nom! Histoire de la fondation de Nostre Dame du Puy! Oroison a Nostre Dame 6,
PML M. 677,Heures d'Anne de France,
BL Harley MS 4012,"A shewing in generall wordis that a sawle corruptithe with synne hit must be waishid and clensid from the filthe of sinne…'! The Charter of our eritage! Foure thingis be nedefull to evere Cristen man and woman to rule theein be to obtayne the blisse of heuen! Here is the mirroure of sinnes! Theis be the wordis that our saueoure Iehsu spake to his holy spouse and virgen Sent Moll! Here beginneth a tretes of mekeues! Here foloing be the artikill of the faith! ""Mirror of St Edmund! imperfect""! ""treatise on 'fowre maner of wasshingis!' imperfect""! Iehsu the sonne of mare mylde! Ho sumener saith this praier in the worship of the passion shall haue C. 3ere of pardon! the pardon of the monastery of Shene whiche is Syon! Here is foling a short and a frutefull tretes how that ther was assembelid viii wide men and masters for to declare what meret tribulacion is for manne mekely sufferd! Prose Life of St Catherine! Prose Life of St Margaret! Verse Life of St Anne! Verse Life of St Patrick",
NE 96,Epistre Othea,
NE 97,Psalter,
NE 98,Book of Hours,
NE 99,Book of Hours,
NE 100,Book of Prayers,
NE 101,A French Book,
NE 102,Troilus and Criseyde,
BL Royal 14 E III,Estoire del Saint Graal! La Queste del Saint Graal! La Morte le Roi Artu! Tristan en prose,
NE 103,Ung livre,
BnF fr. 707,Faiz d'Alexandre,
Oxford Jesus College MS 124,"Oratio ad Virginem - ""Salve sancta mater Dei""! ""Hymnus alter sive oratio - """"O magistra et ministra""""""! ""Oratio tercia - """"Ave amantissima! virgo Maria""""""! ""Preces ad Virginem - """"Qui preberet iter lucis celi quasi preco""""""",
BL Add. MS 40851,Thomas Jenyn’s Ordinary of Arms,
Yale Law School Goldman Library MS G. St. 11.1,Nova Statuta Angliae,
Oxford Digby MS 36,Vita Sancti Gilberti Confessoris,
Pierpont Morgan Library MS M 253,Book of Hours,
Cambridge Fitzwilliam Museum MS 38-1950,Psalter,
BL Harley MS 937,A Perpetual Calendar,
Oxford Hatton MS 73,Virtues of the Mass! Life of Our Lady! Truth (Ballade of Good Counsel)! Lak of Stedfastnesse,
Vatican Library MS Reginense latino 1520,Le Temple de Boccace,
NE 104,Pèlerinage de l'Ame,
Hatfield House Marquis of Salisbury Cecil Papers MS 270,Pilgrimage of the Soul,
NE 105,Epistre Othea,
BnF fr. 227,Des cas des nobles hommes et femmes,
BnF lat. 1405,Hours of Mary Stuart,
Ramsen! collection of Heribert Tenschert,Hours of Mary Stuart,
BnF n.a.l. 3244,Heures de Jeanne de France,
Geneva fr. 5,Livre des anges,
Garrett MS 40,Missel,
BnF fr. 452,,
BnF fr. 989,,
BnF fr. 1165,,
BnF fr. 1866,,
BnF fr. 329,,
BnF fr. 2611-12,,
BnF fr. 5056,,
BnF fr. 29,,
NE 106,Portable Breviary,
BL Royal MS 2 A XVIII,Beaufort Book of Hours,
BL Royal MS 18 D IX,La Bible Historiale,
